experience_id,index,amount,method,substance
96444,0,75 mg,insufflated,Methoxetamine
96444,1,75 mg,smoked,DMT
62835,0,,smoked,DMT
34866,0,150 mg,oral,Harmaline
34866,1,40 mg,oral,5-MeO-DMT
34866,2,20 mg,smoked,DMT
113133,0,2 hits,vaporized,DMT
103790,0,3.5 g,oral,Syrian Rue
103790,1,50 mg,vaporized,DMT
96614,0,60 mg,vaporized,DMT
96614,1,170 mg,vaporized,DMT
101485,0,,smoked,DMT
101485,1,35 mg,oral,4-AcO-MiPT
101485,2,14 mg,oral,4-AcO-DiPT
101485,3,1 hit,oral,LSD
101485,4,30 mg,insufflated,DPT
101485,5,120 mg,oral,MDMA
101541,0,1 g,oral,Mushrooms
101541,1,3 bowls,smoked,Banisteriopsis caapi
101541,2,3 bowls,smoked,Cannabis
101541,3,20 mg,smoked,DMT
101541,4,3 bowls,smoked,Banisteriopsis caapi
101541,5,3 bowls,smoked,Cannabis
101541,6,20 mg,smoked,DMT
93315,0,1 hit,smoked,DMT
93315,1,1 cig.,smoked,Tobacco
93315,2,2 g,oral,Mushrooms
93315,3,1 hit,smoked,DMT
93315,4,1 hit,smoked,DMT
93315,5,1 hit,smoked,DMT
94429,0,,smoked,DMT
93145,0,830 ug,,25C-NBOMe
93145,1,,smoked,DMT
86665,0,15 mg,smoked,DMT
86665,1,2 hits,smoked,Cannabis
83719,0,,smoked,DMT
83719,1,,smoked,Cannabis
31979,0,,smoked,DMT
1841,0,,smoked,DMT
1839,0,,smoked,DMT
117473,0,11 mg,vaporized,DMT
117473,1,17 mg,vaporized,DMT
117473,2,22 mg,vaporized,DMT
115502,0,2 hits,smoked,DMT
114947,0,10 mg,smoked,MET
114947,1,15 mg,smoked,MIPT
114947,2,10 mg,smoked,MPT
114947,3,45 mg,,TMA-2
114947,4,20 mg,smoked,MET
114947,5,20 mg,smoked,MPT
114947,6,20 mg,smoked,MPT
114947,7,30 mg,smoked,DPT
114947,8,10 mg,smoked,5-MeO-EIPT
114947,9,5 mg,smoked,5-MeO-MIPT
114947,10,30 mg,smoked,MET
114947,11,30 mg,smoked,EPT
114947,12,10 mg,smoked,5-MeO-MIPT
114947,13,15 mg,smoked,5-MeO-EIPT
99247,0,2 hits,vaporized,DMT
108109,0,1 hit,smoked,DMT
112845,0,2 hits,vaporized,DMT
112640,0,,IV,DMT
111847,0,3 hits,vaporized,DMT
111847,1,,oral,MAOIs
96140,0,40 mg,smoked,DMT
103249,0,4 hits,smoked,DMT
108821,0,1 hit,vaporized,DMT
91964,0,25 mg,vaporized,DMT
90113,0,,smoked,DMT
107582,0,3 hits,smoked,Changa
97591,0,,smoked,DMT
90557,0,100 mg,vaporized,DMT
101998,0,repeated,smoked,DMT
83098,0,,,Vitamins / Supplements
83098,1,100 ug,insufflated,DMT
94031,0,60 mg,smoked,DMT
94073,0,2 g,smoked,Cannabis
94073,1,0.4 g,oral,Mushrooms
94073,2,,smoked,Cannabis
94073,3,100 mg,smoked,DMT
89351,0,,,Cannabis
89351,1,,,Yerba Mate
89351,2,repeated,smoked,DMT
89351,3,300 mg,oral,MDMA
89351,4,,smoked,DMT
89351,5,,smoked,Cannabis
89351,6,6 leaves,buccal,Coleus
89351,7,1 hit,sublingual,LSD
89351,8,,smoked,Cannabis - Hash
89351,9,,smoked,DMT
93223,0,20 mg,smoked,DMT
91352,0,11 mg,oral,2C-E
91352,1,1 cig.,smoked,Cannabis
91352,2,,smoked,DMT
91352,3,40 mg,smoked,DMT
94174,0,45 mg,smoked,DMT
86537,0,,smoked,DMT
92625,0,,smoked,DMT
92625,1,,smoked,Cannabis
93030,0,30 mg,smoked,DMT
90577,0,64 mg,smoked,DMT
95155,0,100 mg,smoked,DMT
93105,0,1 bowl,smoked,DMT
92678,0,100 mg,smoked,DMT
92678,1,,smoked,Cannabis
89948,0,8 oz,oral,Cacti - T. pachanoi
89948,1,40 mg,smoked,DMT
89948,2,,smoked,Cannabis
86649,0,100 mg,smoked,DMT
86830,0,50 mg,smoked,DMT
86830,1,1 g,smoked,Lotus/Lily - Nymphaea nouchali var caerulea
80701,0,,smoked,Cannabis
80701,1,,smoked,Opium
80701,2,100 mg,smoked,DMT
77678,0,repeated,smoked,DMT
78447,0,0.5 ml,IM,DMT
78447,1,1.0 ml,IM,DMT
78447,2,0.5 ml,IM,DMT
69969,0,40 mg,smoked,DMT
63917,0,2 hits,smoked,DMT
63917,1,,smoked,Cannabis
49585,0,30 mg,smoked,DMT
49585,1,2 hits,smoked,Salvia divinorum
50526,0,repeated,smoked,DMT
43682,0,30 mg,smoked,DMT
43682,1,40 mg,smoked,DMT
39857,0,,smoked,DMT
10437,0,1.0 g,oral,Syrian Rue
10437,1,60 g,oral,Mushrooms - P. cubensis
10437,2,60 mg,smoked,DMT
20717,0,40 mg,smoked,DMT
20398,0,40 mg,smoked,DMT
9024,0,,smoked,DMT
8979,0,100 mg,smoked,DMT
7143,0,60 mg,smoked,DMT
131,0,30 mg,smoked,DMT
1961,0,70 mg,IM,Ketamine
1843,0,,smoked,DMT
1768,0,3.0 g,oral,Syrian Rue
1768,1,100 mg,oral,DMT
115105,0,1 hit,smoked,DMT
106049,0,3 g,oral,Syrian Rue
106049,1,50 mg,oral,DMT
106049,2,50 mg,oral,DMT
106049,3,4 hits,smoked,Cannabis
116663,0,15 mg,vaporized,DMT
116663,1,5 mg,vaporized,5-MeO-DMT
116515,0,4 hits,vaporized,DMT
116515,1,3 hits,vaporized,DMT
116303,0,22 mg,vaporized,DMT
115605,0,1 hit,vaporized,DMT
90894,0,3 hits,smoked,DMT
115425,0,50 mg,vaporized,DMT
109508,0,5 hits,vaporized,DMT
109508,1,1 hit,vaporized,DMT
109508,2,1 hit,vaporized,DMT
115363,0,1 hit,vaporized,DMT
101076,0,60 mg,smoked,DMT
115023,0,50 mg,oral,Tetrahydroharmine
115023,1,100 - 150 mg,oral,Syrian Rue
115023,2,37 mg,oral,DMT
115023,3,40 - 50 mg,oral,Tetrahydroharmine
115023,4,15 mg,oral,DMT
115023,5,,smoked,Cannabis
102069,0,,smoked,Cannabis
102069,1,,smoked,Cannabis
102069,2,50 mg,smoked,DMT
102069,3,,smoked,Cannabis
107029,0,4 hits,vaporized,DMT
101977,0,50 mg,smoked,DMT
114245,0,2 hits,vaporized,DMT
114245,1,2 hits,vaporized,DMT
96562,0,4 mg,sublingual,Banisteriopsis caapi
96562,1,2 hits,vaporized,DMT
114111,0,15 - 50 mg,vaporized,DMT
114111,1,,smoked,Cannabis
112599,0,1 hit,vaporized,DMT
89763,0,3 hits,smoked,DMT
111538,0,,vaporized,DMT
112367,0,,smoked,DMT
112396,0,60 mg,vaporized,DMT
112319,0,3 g,oral,Syrian Rue
112319,1,320 mg,oral,DMT
104390,0,,smoked,DMT
104390,1,,smoked,DMT
86229,0,2 hits,smoked,DMT
100002,0,100 mg,smoked,DMT
101652,0,joints/cigs,smoked,DMT
101652,1,joints/cigs,smoked,Tobacco
111899,0,30 mg,vaporized,DMT
111899,1,,vaporized,Cannabis
94731,0,25 mg,smoked,DMT
94731,1,25 mg,smoked,DMT
94731,2,35 mg,smoked,DMT
101222,0,85 mg,IM,DMT
97548,0,,vaporized,Cannabis
97548,1,1 bowl,smoked,Cannabis
97548,2,1 bowl,smoked,DMT
92029,0,2 hits,vaporized,DMT
101882,0,1 hit,vaporized,DMT
101882,1,3 hits,vaporized,DMT
91557,0,2 hits,smoked,DMT
91557,1,1 hit,smoked,DMT
97622,0,,smoked,DMT
97622,1,,smoked,Damiana
111424,0,2 hits,smoked,DMT
111424,1,2 hits,smoked,Cannabis
95805,0,60 mg,IV,DMT
95805,1,60 mg,IV,DMT
98773,0,,smoked,DMT
101221,0,32 mg,IV,DMT
95295,0,35 mg,smoked,DMT
110578,0,1 bowl,smoked,DMT
109959,0,,vaporized,DMT
109959,1,,smoked,Cannabis
110091,0,4 hits,smoked,DMT
98050,0,50 mg,smoked,DMT
88607,0,80 mg,oral,Pharms - Citalopram
88607,1,,vaporized,DMT
108548,0,50 mg,smoked,DMT
86700,0,,smoked,DMT
88112,0,,smoked,DMT
99091,0,5 hits,smoked,DMT
99091,1,,smoked,Tobacco
108349,0,4 hits,vaporized,DMT
108349,1,,vaporized,Cannabis
89758,0,50 mg,smoked,DMT
96437,0,,smoked,DMT
91490,0,40 mg,smoked,DMT
89661,0,,smoked,DMT
99870,0,25 mg,insufflated,DPT
99870,1,30 mg,smoked,DMT
98522,0,1 hit,smoked,Cannabis
98522,1,3 hits,smoked,DMT
96607,0,3.5 g,oral,Mushrooms
96607,1,,smoked,DMT
91911,0,,smoked,DMT
94941,0,0.25 g,insufflated,Coca
94941,1,1 hit,oral,DOB
94941,2,0.125 g,oral,Mushrooms
94941,3,,inhaled,Nitrous Oxide
94941,4,,oral,MDMA
94941,5,,smoked,DMT
94941,6,,oral,MDMA
87761,0,200 mg,oral,Syrian Rue
87761,1,125 mg,oral,DMT
90895,0,80 mg,insufflated,DMT
89910,0,,smoked,DMT
87967,0,100 mg,smoked,DMT
87967,1,1 glass,oral,Absinthe
73648,0,3 mg,oral,Melatonin
73648,1,,smoked,Changa
73648,2,1 cig.,smoked,Cannabis
70877,0,25 mg,smoked,DMT
83785,0,1 hit,oral,LSD
83785,1,2 hits,smoked,DMT
79622,0,3 hits,smoked,DMT
77550,0,3 hits,smoked,DMT
74289,0,60 mg,smoked,DMT
74289,1,1 cart.,inhaled,Nitrous Oxide
75162,0,3 hits,smoked,DMT
62911,0,50 mg,smoked,DMT
73400,0,2 hits,smoked,DMT
70549,0,,smoked,DMT
65093,0,17.5 mg,smoked,DMT
57936,0,1 hit,smoked,DMT
57450,0,25 mg,inhaled,DMT
47094,0,80 mg,smoked,DMT
47094,1,,smoked,Salvia divinorum
24161,0,30 mg,smoked,DMT
19216,0,60 mg,smoked,DMT
19216,1,,inhaled,Nitrous Oxide
20727,0,20 mg,smoked,DMT
12306,0,50 mg,smoked,DMT
1858,0,125 mg,smoked,DMT
1858,1,5.0 g,oral,Mushrooms
118430,0,25 mg,vaporized,DMT
85245,0,2 lines,insufflated,DMT
116659,0,,smoked,DMT
116659,1,3 g,oral,Mushrooms
116659,2,3 hits,smoked,DMT
116350,0,3 hits,smoked,DMT
116335,0,25 mg,oral,4-HO-MET
116335,1,1 glass,oral,Alcohol - Beer/Wine
116335,2,1 glass,oral,Alcohol - Beer/Wine
116335,3,1 glass,oral,Alcohol - Beer/Wine
116335,4,25 mg,insufflated,Cocaine
116335,5,10 mg,oral,4-HO-MET
116335,6,25 mg,insufflated,Cocaine
116335,7,1 glass,,Alcohol - Beer/Wine
116335,8,25 mg,insufflated,Cocaine
116335,9,1 glass,,Alcohol - Beer/Wine
116335,10,,vaporized,Cannabis
116335,11,,vaporized,Cannabis
116335,12,2 hits,vaporized,DMT
115943,0,,smoked,Salvia divinorum
115943,1,,smoked,Tobacco
115943,2,50 mg,smoked,DMT
115568,0,25 mg,vaporized,DMT
97325,0,repeated,smoked,DMT
105010,0,,smoked,Cannabis
105010,1,,smoked,DMT
100707,0,1 hit,vaporized,DMT
100707,1,200 mg,oral,Methylone
100707,2,1 hit,vaporized,DMT
100707,3,3 hits,vaporized,DMT
76849,0,5 - 6 hits,vaporized,DMT
70656,0,2 hits,vaporized,2-Me-DMT
73844,0,100 mg,smoked,DMT
102649,0,30 mg,smoked,DMT
97840,0,3 hits,smoked,DMT
104982,0,5 mg,oral,Amphetamines
104982,1,60 - 65 mg,vaporized,DMT
56557,0,,oral,Alcohol - Beer/Wine
56557,1,,,Cannabis
56557,2,2 hits,smoked,DMT
78273,0,,smoked,Cannabis
83189,0,,oral,Alcohol - Beer/Wine
83189,1,,oral,Alcohol - Hard
83189,2,,smoked,DMT
83189,3,,smoked,Cannabis
70970,0,50 mg,smoked,DMT
107046,0,50 mg,vaporized,DMT
113490,0,2 hits,smoked,DMT
99807,0,130-160 ug,,LSD
99807,1,15 mg,smoked,DMT
80764,0,,smoked,DMT
93875,0,2 hits,vaporized,DMT
106379,0,50 mg,vaporized,DMT
114748,0,14 mg,vaporized,DMT
114612,0,25 mg,smoked,DMT
114612,1,,smoked,Cannabis
104016,0,3 hits,smoked,DMT
104016,1,,smoked,Cannabis
114501,0,1 hit,smoked,DMT
114504,0,15 mg,oral,Pharms - Zolpidem
114504,1,1 glass,oral,Alcohol - Beer/Wine
114504,2,repeated,vaporized,DMT
106061,0,2 hits,smoked,DMT
99429,0,,smoked,DMT
105536,0,50 mg,smoked,DMT
105099,0,2 - 3 hits,smoked,DMT
114381,0,7 - 10 mg,vaporized,DMT
114258,0,15 mg,smoked,DMT
114258,1,20 mg,smoked,DMT
84936,0,100 mg,smoked,DMT
99321,0,35 mg,smoked,DMT
80969,0,3 hits,smoked,DMT
103238,0,8 mg,smoked,DMT
114122,0,1 hit,oral,LSD
114122,1,4 - 7,oral,Alcohol - Beer/Wine
114122,2,repeated,smoked,Cannabis
114122,3,1 hit,smoked,DMT
91819,0,repeated,smoked,DMT
90357,0,,smoked,DMT
90357,1,,smoked,Cannabis
114078,0,15 - 30 mg,smoked,DMT
110124,0,,vaporized,DMT
113883,0,,smoked,Mimosa tenuiflora
113689,0,2 hits,smoked,DMT
113689,1,2 hits,smoked,Cannabis - High CBD
101234,0,2 hits,smoked,DMT
110770,0,10 - 30 mg,vaporized,DMT
110333,0,20 - 50 mg,smoked,DMT
108843,0,3 hits,vaporized,DMT
107570,0,3.0-3.4 g,oral,Syrian Rue
107570,1,5-10 mg,oral,DMT
83784,0,,smoked,DMT
113008,0,,smoked,DMT
113008,1,,smoked,Cannabis
103215,0,repeated,smoked,DMT
112908,0,300 ug,sublingual,LSD
112908,1,27.5 mg,smoked,DMT
112821,0,15 mg,smoked,DMT
112706,0,3 hits,smoked,DMT
112706,1,4 hits,smoked,DMT
93693,0,,,Noopept
93693,1,20 mg,vaporized,DMT
97454,0,,smoked,DMT
96825,0,3 hits,smoked,DMT
89940,0,,smoked,DMT
101758,0,60 mg,smoked,DMT
98655,0,repeated,smoked,Cannabis
98655,1,90 mg,smoked,DMT
98655,2,,smoked,Cannabis
62369,0,60 mg,smoked,DMT
97943,0,88 mg,vaporized,DMT
81751,0,50 mg,smoked,DMT
81751,1,,smoked,Cannabis
90401,0,1 hit,smoked,DMT
90401,1,1 hit,smoked,DMT
62590,0,10 mg,oral,Pharms - Fluoxetine
62590,1,40 mg,vaporized,DMT
62590,2,65 mg,vaporized,DMT
87683,0,1.5 g,oral,Mushrooms
87683,1,.5 g,oral,Mushrooms
87683,2,1 bowl,smoked,Cannabis
87683,3,3 hits,smoked,DMT
87683,4,3 hits,smoked,DMT
79695,0,,smoked,Cannabis
79695,1,,smoked,DMT
89308,0,repeated,smoked,Cannabis
89308,1,2 mg,insufflated,Pharms - Alprazolam
89308,2,30 mg,smoked,DMT
