,experience_id,summary
0,96444,"The participant began their experience by taking an unspecified substance that provided a dissociative state lasting several hours. During this time, they felt relaxed and experienced colorful visuals when closing their eyes. After about three hours, they decided to try another substance known for causing intense visual hallucinations. They smoked a mixture of this second substance with some cannabis.

The initial effects were overwhelming, with the participant feeling an energy flow through their body and seeing a black grid that morphed into various shapes and colors, primarily pink and green. The environment felt ancient yet futuristic, evoking imagery reminiscent of a 1950s soda shop but more mystical. As the experience progressed, the participant accepted this new reality as pleasant and natural.

Suddenly, music from ""I Am the Walrus"" by The Beatles began playing in the background, shattering the visual grid into colorful shards. From these shards emerged brief outlines of what appeared to be people. After a few minutes, the participant returned to their room, still highly affected but no longer in hyperspace. They called friends and expressed excitement about the experience.

The effects lasted for several more hours, with the participant feeling recharged and alive. The next day, they felt wobbly from the first substance but were eager to discuss the event. Since then, they have been hesitant to repeat the intense experience but have shared the remaining substance with friends."
1,62835,"The participant experienced several sessions involving a substance that produced vivid visual effects and altered states of consciousness. During early sessions, they saw images such as playing cards, skulls, military hardware, and screws. In one session, while in the kitchen, they observed their appliances displaying neon-colored patterns and exchanging pulses of energy between them.

In another session, after using an improved vaporizer, the participant entered a warm, womb-like state with some extra visual patterning. They then experienced a brief vision of rows of parked cars or an orderly residential scene from the 1950s, which they found startling and thought might be evidence of parallel universes.

In subsequent sessions, the participant encountered entities described as having Inca or Aztec architectural influence combined with opulent features like a wedding cake. These entities could rotate, twist, and shuffle like a Rubik's cube. The entity was surrounded by an amniotic sack that changed color from blue to green. Through one of its crystal surfaces, the participant glimpsed scenes resembling 1950s suburban streets.

The overall experience included feelings of well-being, heightened empathy, and a sense of spiritual connection."
2,34866,"The experience began in a room where nine people, including the narrator, took doses of Pharmahuasca (a combination of harmaline and 5-MeO-DMT). After ingesting the substances, some participants started chanting or moaning. The narrator felt queasy and nervous but focused on their breathing to calm themselves.

As the effects intensified, the narrator experienced waves of nausea and a deep sense of disassociation from their body. They described feeling as if they were sinking through the earth and losing connection with reality. During this phase, some participants vomited or left the room to do so.

The narrator then had an intense experience where they felt like they were dying repeatedly in waves, each time becoming more detached from physical reality. The entity guiding them (referred to as ""she"") communicated telepathically and tried to calm the narrator, explaining that death was beautiful. The narrator struggled with this experience, feeling a mix of fear and profound insight.

When the narrator's awareness returned partially, they felt alienated from their body and surroundings but experienced heightened empathy for others. They stumbled outside where plants seemed alive and sentient, communicating with them on an emotional level.

Back inside, the narrator had intense waves of emotion and physical exertion, repeatedly yelling ""PLEASE"" as if begging for help or release. The group formed a circle around the narrator, trying to comfort and support them. One participant (the leader) stood firm, helping the narrator maintain connection with reality while encouraging them to feel their own power.

After several hours, the narrator's experience began to subside. They felt calm and peaceful, blessing everything they saw as they walked around a rock garden outside. Another participant had a violent reaction during this time but was eventually calmed down by the leader.

The next day, another participant provided an alternative account of the night, describing it from their perspective and mentioning that some participants experienced severe nausea and physical discomfort."
3,113133,"The participant inhaled an unknown amount of the substance through a homemade smoking device. They experienced visual distortions, including neon colors assigned to sounds and geometric patterns like red and purple triangles. The environment transformed into a bioluminescent disco-like space with surreal geometry. The participant then felt as if they were traveling at high speed through various lounge-like rooms, each chamber displaying vibrant colors and complex patterns.

In one of these chambers, the participant encountered an entity resembling J, who wore a puffy top hat and communicated the word ""right?!"" to them. After this encounter, the participant experienced a sense of being in a singularity before returning to their human existence. Upon regaining consciousness, they found themselves in a room with green geometric fragments that throbbed and swayed. The walls heaved and sagged, and J's face appeared as an inquisitive treble clef.

The experience left the participant feeling fascinated and grateful for their return to normalcy. They felt a deep connection to objects around them, such as a laptop computer. After the trip, they experienced brief reoccurrences of DMT-like visuals during sleep and developed a meditation practice. A month later, while smoking marijuana, they had another intense visual experience with tunnel-like scenes and morphing imagery."
4,103790,"The participant began their day feeling energized and went to a friend's house in the afternoon for a psychedelic experience involving two substances. They consumed a decoction made from ground Syrian Rue, which produced visual distortions such as clouds being sucked into focused points of sky and enhanced body awareness. The individual also experienced a drunk-like sensation with impaired motor function.

After consuming the first substance, they went on a walk and then returned home to meditate. During meditation, they noticed surreal body awareness, including twitching sensations that were actually minor bodily functions becoming more apparent. They played a didgeridoo while their friend channeled breath into them, experiencing strange sensations flowing through their arms.

Nausea set in later, prompting the decision not to consume the second substance initially. However, after lying down and napping, they felt revitalized enough to proceed with the DMT experience. The DMT onset was intense, causing fractalization of reality where everything would break apart into nothingness and then reassemble repeatedly.

The participant experienced fear and panic during this process, struggling to maintain coherent thought or perception. They crawled over to their friend for comfort, who helped them through by repeating phrases like ""breath in love, exhale gratitude."" After a while, the intensity lessened, allowing the individual to regain some awareness of their body and surroundings.

They spoke with their girlfriend on the phone, expressing profound philosophical insights about the nature of existence and consciousness. The experience lasted approximately 1.5 hours before the DMT effects began to subside. In the aftermath, they felt a sense of enlightenment and gratitude for those around them, though still somewhat in shock from the intensity of the trip."
5,96614,"The participant prepared for a psychedelic experience in their backyard, setting up a comfortable environment with incense and a hammock. After an initial attempt that produced only mild effects, they decided to try again with a larger dose of the substance. This time, the guide's presence was requested and both went outside to the prepared area.

Upon inhaling the vaporized substance, the participant experienced a disintegration of their body and mind into a state described as emptiness or clear light. This state lasted for approximately 10 minutes according to the guide. As they fell out of this state, they recognized it as divine bliss and had philosophical realizations about the purpose of life and spiritual cultivation.

The experience then shifted to a sea of imagery representing their current life, followed by turbulence as the psyche began to reconstruct itself. The participant felt a connection with their biological mother and experienced being reborn in a womb-like state. They wept with joy and gratitude upon returning to familiar reality.

Afterwards, they expressed appreciation for the guide's presence during the experience and fell into a peaceful sleep."
6,101485,"In a series of trips, the participant encountered various entities and environments. In one experience, three tall, slender beings presented an object with a glowing light. Another encounter involved reptilian-like beings placing containers in the ground and leaving behind a small entity expressing loneliness. A business-like atmosphere was experienced with human colleagues, while another trip featured colorful elf-like creatures with interchangeable body parts.

The participant also had experiences involving intense emotions such as fear and grief, receiving messages about world events and personal loss. In one instance, they felt like they were reliving their entire life simultaneously in a dreamlike state. Another experience involved a maze-like path and synesthetic sensations where physical actions changed the surroundings.

Encounters with entities ranged from angry presences questioning human awareness to benevolent healers offering food or merging with the participant's body. The participant also experienced symbolic interactions, such as being given objects or fed substances that were meant to be taken back into reality.

The trips often involved vivid visual and sensory experiences, sometimes combined with other substances like LSD or ketamine, leading to complex and layered encounters in a perceived alternate reality."
7,101541,"The participant began their journey by drinking mushroom tea, followed by smoking caapi leaves mixed with weed. They then smoked three bowls of this mixture, experiencing a gradual increase in effects. The visual effect included shapes forming out of empty space, breaking apart and tumbling towards the participant on either side. This effect persisted throughout the experience.

The participant entered an altered state characterized by blissfulness, trance-like states, and loss of self. They communicated with various entities that provided advice and insights into personal life choices and future events. The astral plane was described as perfectly crafted and accepting.

After smoking DMT mixed with caapi leaves, the participant experienced intense visualizations where beings inhabited every piece of furniture and empty space in the room. These visuals were accompanied by a strong sense of bliss and an urge to keep eyes open despite wanting to close them.

The participant then moved outside, revisiting plant spirits and experiencing chess-themed visuals. They smoked another bowl with DMT and experienced fear, seeing decay and rebirth cycles in nature. An entity warned about a 'danger zone' in the yard, advising caution against negative energy.

After this fearful moment, the blissful state returned. The participant took a walk to the park, feeling elevated sensory abilities and intense awareness of others' energies. They felt like a fly on the wall, hearing distant conversations clearly. Upon returning home, they fell into a deep sleep.

Throughout the experience, the participant noted enhanced visual effects, spiritual ecstasy, and dreamlike states due to the combination of substances used."
8,93315,"Donovan, a spiritual individual interested in altered states of consciousness, experienced intense visual and auditory effects after inhaling a substance. Initially, he felt overwhelmed by neon streaks of electromagnetism around objects and then witnessed the room transform into an enormous dome filled with prisms resembling diamond eyeballs. He perceived himself as both inside and outside this ""museum"" simultaneously.

In the dome, Donovan encountered a two-dimensional man who resembled Two-Face from Batman, manipulating pulleys and levers. This figure was seen as the curator of the museum. The rules governing reality seemed to shift rapidly, causing confusion and disorientation. Donovan also experienced a sense of identity confusion, questioning his true self and relationship with others.

Later in the experience, he found himself back in the living room, feeling a current of electricity throughout the space. He then moved to the bathroom where he felt a strong sense of nostalgia and déjà vu. After vomiting, he returned to the living room more lucid but still experiencing altered perceptions.

The next day, Donovan consumed mushrooms with his brother Boob, leading to further hallucinations. The walls appeared like an aquarium, objects floated on a tide, and there was a feeling of eternal unity between him and Boob. A voice urged him to get up, initially seeming motivational but then turning urgent as if trying to revive someone.

Donovan later took another hit of the substance with a friend, enhancing his trip but not significantly altering it beyond what he had already experienced. In a final attempt early the next morning, Donovan inhaled more of the substance after drinking wine. This time, he became a two-dimensional black and white zigzag pattern and felt watched by an unseen observer. He also dreamt vividly about his brother failing to relate his experiences over several days."
9,94429,"The experience began in a dimly lit room with soft music playing. After inhaling an unknown substance through a pipe, the participant immediately felt intense visual distortions and a loss of connection to reality. Objects around them appeared to vibrate rapidly and transform into intricate patterns. The participant's thoughts became disjointed, and they struggled to comprehend their surroundings.

As the experience progressed, the room transformed into what seemed like an artistic masterpiece, with objects arranged in perfect symmetry. The visuals became increasingly complex and overwhelming, leading to a sense of nausea. The participant then entered a state where they perceived themselves as pure consciousness, disconnected from their physical body. They experienced vivid scenes that felt more real than anything previously encountered.

The experience shifted into a bright, white light, which the participant interpreted as a glimpse of a larger cosmic reality. They saw multiple universes and realized that all living beings were interconnected parts of a greater whole. The participant perceived themselves as a small part of an infinite entity, experiencing life from various perspectives simultaneously.

As the effects began to wane, the participant felt a profound sense of clarity and purpose. Upon regaining physical awareness, they expressed excitement and gratitude for the experience. They immediately stood up and left the room, feeling a strong desire for water. The after-effects lasted several hours, during which the participant felt an enhanced appreciation for life and a newfound self-awareness."
